,LocationID,zone,borough,number_of_schools,number_of_pois,number_of_universities
0,1,Newark Airport,EWR,0,0,0
1,2,Jamaica Bay,Queens,0,30,0
2,3,Allerton/Pelham Gardens,Bronx,6,46,0
3,4,Alphabet City,Manhattan,7,133,0
4,5,Arden Heights,Staten Island,2,8,0
5,6,Arrochar/Fort Wadsworth,Staten Island,4,67,0
6,7,Astoria,Queens,9,99,0
7,8,Astoria Park,Queens,0,9,0
8,9,Auburndale,Queens,4,18,1
9,10,Baisley Park,Queens,9,53,0
10,11,Bath Beach,Brooklyn,4,29,0
11,12,Battery Park,Manhattan,0,17,0
12,13,Battery Park City,Manhattan,5,44,0
13,14,Bay Ridge,Brooklyn,10,136,0
14,15,Bay Terrace/Fort Totten,Queens,4,33,0
15,16,Bayside,Queens,9,71,0
16,17,Bedford,Brooklyn,17,186,0
17,18,Bedford Park,Bronx,5,43,0
18,19,Bellerose,Queens,7,38,0
19,20,Belmont,Bronx,16,99,1
20,21,Bensonhurst East,Brooklyn,10,59,0
21,22,Bensonhurst West,Brooklyn,9,56,0
22,23,Bloomfield/Emerson Hill,Staten Island,8,134,1
23,24,Bloomingdale,Manhattan,4,25,0
24,25,Boerum Hill,Brooklyn,14,84,0
25,26,Borough Park,Brooklyn,14,141,0
26,27,Breezy Point/Fort Tilden/Riis Beach,Queens,0,22,0
27,28,Briarwood/Jamaica Hills,Queens,14,49,0
28,29,Brighton Beach,Brooklyn,6,37,0
29,30,Broad Channel,Queens,1,16,0
30,31,Bronx Park,Bronx,0,98,0
31,32,Bronxdale,Bronx,10,75,0
32,33,Brooklyn Heights,Brooklyn,1,90,1
33,34,Brooklyn Navy Yard,Brooklyn,1,69,0
34,35,Brownsville,Brooklyn,33,245,0
35,36,Bushwick North,Brooklyn,18,62,0
36,37,Bushwick South,Brooklyn,24,176,0
37,38,Cambria Heights,Queens,6,26,0
38,39,Canarsie,Brooklyn,24,171,0
39,40,Carroll Gardens,Brooklyn,4,29,0
40,41,Central Harlem,Manhattan,16,126,1
41,42,Central Harlem North,Manhattan,26,309,0
42,43,Central Park,Manhattan,0,215,0
43,44,Charleston/Tottenville,Staten Island,4,78,0
44,45,Chinatown,Manhattan,6,89,0
45,46,City Island,Bronx,1,24,0
46,47,Claremont/Bathgate,Bronx,27,141,0
47,48,Clinton East,Manhattan,11,76,1
48,49,Clinton Hill,Brooklyn,11,120,2
49,50,Clinton West,Manhattan,7,64,0
50,51,Co-Op City,Bronx,14,136,1
51,52,Cobble Hill,Brooklyn,1,11,1
52,53,College Point,Queens,2,55,0
53,54,Columbia Street,Brooklyn,0,29,0
54,55,Coney Island,Brooklyn,12,193,0
55,56,Corona,Queens,5,38,0
56,56,Corona,Queens,5,38,0
